2020-08-06 20:44:46,518 [http-nio-8080-exec-1] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:48 - 【请求类名】：com.zl.log.controller.TestController，【请求方法名】：test
2020-08-06 20:44:46,603 [http-nio-8080-exec-1] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:51 - 【请求参数】：{"who":["123"]}，
2020-08-06 20:44:48,384 [http-nio-8080-exec-1] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:80 - 【请求耗时】：1781毫秒
2020-08-06 20:44:48,397 [http-nio-8080-exec-1] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:84 - 【浏览器类型】：CHROME8，【操作系统】：WINDOWS_7，【原始User-Agent】：Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36
2020-08-06 20:44:48,398 [http-nio-8080-exec-1] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:66 - 【返回值】："123"
2020-08-06 20:47:24,847 [http-nio-8080-exec-4] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:46 - 【请求 URL】：http://localhost:8080/demo/test
2020-08-06 20:47:24,848 [http-nio-8080-exec-4] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:47 - 【请求 IP】：0:0:0:0:0:0:0:1
2020-08-06 20:47:24,849 [http-nio-8080-exec-4] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:48 - 【请求类名】：com.zl.log.controller.TestController，【请求方法名】：test
2020-08-06 20:47:24,851 [http-nio-8080-exec-4] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:51 - 【请求参数】：{"who":["123"]}，
2020-08-06 20:47:24,852 [http-nio-8080-exec-4] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:80 - 【请求耗时】：0毫秒
2020-08-06 20:47:24,853 [http-nio-8080-exec-4] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:84 - 【浏览器类型】：CHROME8，【操作系统】：WINDOWS_7，【原始User-Agent】：Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36
2020-08-06 20:47:24,853 [http-nio-8080-exec-4] INFO  [com.zl.log.aspectj.AopLog] AopLog.java:66 - 【返回值】："123"
